method,compression_ratio,space_savings,encode_time,rmse
BIE Binary,2.005,50.1,2.54e-04,4.45e-06
BIE Binary,2.005,50.1,2.54e-04,4.21e-06
BIE Bitplane 8-bit,0.25,-300.0,2.46e-03,1.04e+02
BIE Bitplane 8-bit,0.25,-300.0,2.46e-03,8.46e+01
BIE Bitplane 4-bit,0.498,-100.7,1.28e-03,9.83e+01
BIE Bitplane 4-bit,0.498,-100.7,1.28e-03,7.96e+01
BIE Blocked Binary,1.0,0.0,2.56e-04,3.49e-06
BIE Blocked Binary,1.0,0.0,2.56e-04,3.60e-06
BIE Blocked Bitplane,1.0,0.0,2.06e-04,6.91e-06
BIE Blocked Bitplane,1.0,0.0,2.06e-04,6.84e-06
Dense FP32,1.0,0.0,2.10e-05,0.00e+00
Dense FP32,1.0,0.0,2.10e-05,0.00e+00
Dense FP16,2.0,50.0,4.20e-04,4.75e-03
Dense FP16,2.0,50.0,4.20e-04,4.70e-03
Quantized 8-bit,4.0,75.0,1.87e-04,2.55e-01
Quantized 8-bit,4.0,75.0,1.87e-04,2.53e-01
Quantized 4-bit,4.0,75.0,1.75e-04,4.63e+00
Quantized 4-bit,4.0,75.0,1.75e-04,4.59e+00
BIE Binary,2.005,50.1,3.76e-04,4.45e-06
BIE Binary,2.005,50.1,3.76e-04,4.21e-06
BIE Bitplane 8-bit,0.25,-300.0,1.66e-03,1.04e+02
BIE Bitplane 8-bit,0.25,-300.0,1.66e-03,8.46e+01
BIE Bitplane 4-bit,0.498,-100.7,8.67e-04,9.83e+01
BIE Bitplane 4-bit,0.498,-100.7,8.67e-04,7.96e+01
BIE Blocked Binary,1.0,0.0,2.14e-04,3.49e-06
BIE Blocked Binary,1.0,0.0,2.14e-04,3.60e-06
BIE Blocked Bitplane,1.0,0.0,1.59e-04,6.91e-06
BIE Blocked Bitplane,1.0,0.0,1.59e-04,6.84e-06
Dense FP32,1.0,0.0,1.69e-05,0.00e+00
Dense FP32,1.0,0.0,1.69e-05,0.00e+00
Dense FP16,2.0,50.0,3.93e-04,4.75e-03
Dense FP16,2.0,50.0,3.93e-04,4.70e-03
Quantized 8-bit,4.0,75.0,1.85e-04,2.55e-01
Quantized 8-bit,4.0,75.0,1.85e-04,2.53e-01
Quantized 4-bit,4.0,75.0,1.79e-04,4.63e+00
Quantized 4-bit,4.0,75.0,1.79e-04,4.59e+00
